Reference,Abrv Reference (AEW),CAS Number,USEPA RSL Residential,USEPA RSL Industrial,ESL - Tier 1,ESL - Commerical,ESL - Construction Workers,California OSHA Permissible Exposure Limits,ESL - Residential,DTSLs SLs - Residential,DTSCs SLs - Commerical,Concentration in California Benchmark Soil,TTLC,STLCx10,STLC,TCLPx20,TCLP,Baylands Soil Processing,Lennar Urban - Candlestick Point Redevelopment,Shaklette and Boerngen,LBNL,Bradford et al.,ESL - Tier 1 (GW),SFPUC Batch Discharge Criteria,Subslab / Soil Gas ESL - Tier 1,Subslab / Soil Gas ESL - Residential,Subslab / Soil Gas ESL - Commercial,Indoor Air ESL - Tier 1,Indoor Air ESL - Residential,Indoor Air ESL - Commercial,Air DTSCs SLs - Residential,Air DTSC SLs - Commercial,California OSHA Permissible Exposure Limits (SV)
4-Methyl-2-pentanone (MIBK),4-Methyl-2-pentanone,0108-10-1,54000,230000,0.36,141000,140000,NA,34000,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,14000,104285.71,438000,420,3128.5714,13140,NA,NA,NA
4-Nitroaniline,4-Nirtoaniline,0100-01-06,27,110,NA,NA,NA,NA,NA,27,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-Nitrophenol,4-Nitro phenol,0100-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a-BHC,a-BHC,319-84-6,0.086,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acenaphthene,Ace naphthene,83-32-9,3600,45000,12,45000,10000,NA,3600,3300,23000,NA,NA,NA,NA,NA,NA,19,12,NA,NA,NA,NA,NA,17100,NA,NA,513,NA,NA,NA,NA,NA
Acenaphthylene,Acenaphthylene,208-96-8,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,6.4,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acetochlor,Acetochlor,34256-82-1,1300,16000,NA,NA,NA,NA,NA,1300,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acetone,Acetone,67-64-1,70000,1100000,0.92,670000,270000,NA,61000,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.92,NA,NA,NA,1500,NA,1028733,1077619,4526000,30862,32328.571,135780,NA,NA,1200000
a-Chlordane,a-Chlordane,5103-71-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,0.25,0.6,0.03,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldrin,Aldrin,309-00-2,0.039,0.18,0.0024,0.15,1,NA,0.035,0.039,0.18,NA,1.4,1.4,0.14,NA,NA,NA,0.0024,NA,NA,NA,NA,NA,0.0191,0.0190999,0.0834286,0.000573,0.000573,0.0025029,0.00057,0.0025,NA
Anthracene,Anthracene,0120-12-7,18000,230000,1.9,230000,50000,NA,18000,17000,130000,NA,NA,NA,NA,NA,NA,2.8,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antimony,Sb,7440-36-0,31,470,11,160,50,NA,11,NA,NA,NA,500,150,15,NA,NA,22,11,0.62,< 6,0.6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aroclor1016,Aroclor 1016,12674-11-2,4.1,27,NA,NA,NA,NA,NA,6.6,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.61,NA
Aroclor1221,Aroclor 1221,11104-28-2,0.2,0.83,NA,NA,NA,NA,NA,0.2,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aroclor1232,Aroclor 1232,11141-16-5,0.17,0.72,NA,NA,NA,NA,NA,0.17,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aroclor1242,Aroclor 1242,53469-21-9,0.23,0.95,NA,NA,NA,NA,NA,0.23,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aroclor1248,Aroclor 1248,12672-29-6,0.23,0.95,NA,NA,NA,NA,NA,0.23,0.58,NA,NA,NA,NA,NA,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aroclor1254,Aroclor 1254,11097-69-1,0.24,0.97,NA,NA,NA,NA,NA,0.24,0.59,NA,NA,NA,NA,NA,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0049,0.021,NA
Aroclor1260,Aroclor 1260,11096-82-5,0.24,0.99,NA,NA,NA,NA,NA,0.24,0.6,NA,NA,NA,NA,NA,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arsenic,As,7440-38-2,0.68,3,0.067,0.31,0.98,NA,0.067,0.11,0.36,3.5,500,50,5,100,5,20,0.067,7,24,3.5,10,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barium,Ba,7440-39-3,15000,220000,390,220000,3000,NA,15000,NA,NA,509,10000,1000,100,2000,100,390,390,670,410,509,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b-BHC,b-BHC,319-85-7,0.3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benzene,Benzene,71-43-2,1.2,5.1,0.025,1.4,33,NA,0.33,0.33,1.4,NA,NA,NA,NA,10,0.5,0.12,1.4,NA,NA,NA,0.42,500,3.227233,3.2272325,14.096552,0.096817,0.096817,0.4228966,0.097,0.42,NA
Benzidine,Benzidine,92-87-5,0.00053,0.01,NA,NA,NA,NA,NA,0.00024,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.20E-06,0.000088,NA
Benzo (a) anthracene,Benzo (a) anthracene,56-55-3,1.1,21,0.63,20,110,NA,1.1,1.1,12,NA,NA,NA,NA,NA,NA,0.38,0.63,NA,NA,NA,NA,NA,0.307239,0.3072391,3.7163636,0.0092172,0.0092172,0.1114909,NA,NA,NA
Benzo (a) pyrene,Benzo (a) pyrene,50-32-8,0.11,2.1,0.11,2.1,10,NA,0.11,0.11,1.3,NA,NA,NA,NA,NA,NA,0.038,0.11,NA,NA,NA,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benzo (b) fluoranthene,Benzo (b) fluoranthene,205-99-2,1.1,21,1.1,21,110,NA,1.1,1.1,13,NA,NA,NA,NA,NA,NA,0.38,1.1,NA,NA,NA,0.049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benzo (g,h,i) perylene","Benzo (g, h, i) perylene",191-24-2,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,2.5,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benzo (k) fluoranthene,Benzo (k) fluoranthene,0207-08-09,11,210,2.8,210,910,NA,110,11,130,NA,NA,NA,NA,NA,NA,0.38,2.8,NA,NA,NA,0.049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benzyl Alcohol,Benzyl Alcohol,100-51-6,6300,82000,NA,NA,NA,NA,NA,6300,53000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beryllium,Be,7440-41-7,160,2300,5,230,27,NA,16,16,230,1.28,75,7.5,0.75,NA,NA,5,5,0.97,1,1.28,2.7,NA,NA,NA,NA,NA,NA,NA,0.0012,0.0051,NA
Bis (2-chloroethoxy) Methane,Bis (2-chloro ethoxy) Methane,111-91-1,190,2500,NA,NA,NA,NA,NA,190,1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bis (2-chloroethyl) Ether,Bis (2-chloroethyl) Ether,111-44-4,0.23,1,0.000034,0.47,6.4,NA,0.1,0.1,0.47,NA,NA,NA,NA,NA,NA,NA,0.000034,NA,NA,NA,NA,NA,0.131817,0.1318165,0.5757746,0.0039545,0.0039545,0.0172732,0.004,0.017,NA
Bis (2-chloroisopropyl) Ether,Bis (2-chloro isopropyl) Ether,108-60-1,NA,NA,0.0051,23,270,NA,5,2000,16000,NA,NA,NA,NA,NA,NA,NA,0.0051,NA,NA,NA,NA,NA,9.358974,9.3589744,40.88,0.2807692,0.2807692,1.2264,NA,NA,NA
Bis (2-ethylhexyl) Phthalate,Bis (2-ethylhexyl) Phthalate,117-81-7,39,160,0.8,160,950,NA,39,39,110,NA,NA,NA,NA,NA,NA,35,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromobenzene,Bromo benzene,108-86-1,290,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromochloromethane,Bromo chloro methane,74-97-5,150,630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromodichloromethane,Bromo dichloro methane,75-27-4,0.29,1.3,0.016,1.3,28,NA,0.29,0.29,1300,NA,NA,NA,NA,NA,NA,0.57,0.016,NA,NA,NA,NA,NA,2.529453,2.5294525,11.048649,0.0758836,0.0758836,0.3314595,0.076,0.33,NA
